frame_id,light_x_cam_m,light_y_cam_m,light_z_cam_m,x_m,y_m,original_depth_valid
252,10.769014549255372,0.3227976510922114,3.5208791097005205,-9.760619545299111,4.5613790433978965,1
253,10.688153902689615,0.33597942094008126,3.5179341316223143,-9.681150132703578,4.541458810440536,1
254,10.603870073954266,0.3498849660158157,3.5141063849131267,-9.598250797507042,4.520847449638418,1
255,10.527317047119139,0.36597186326980585,3.5126552899678547,-9.52158623124525,4.505300795311149,1
256,10.453874270121256,0.38193800449371335,3.5132839679718018,-9.447825422326229,4.490875046583469,1
257,10.374296569824219,0.39736837943394976,3.5085958798726398,-9.368643512154506,4.473527656090415,1
258,10.298303095499675,0.41266571879386904,3.5052923838297523,-9.292805442899281,4.457477609889626,1
259,10.22637310028076,0.42627843817075095,3.5021785100301104,-9.221365772109387,4.441489996607525,1
260,10.15844612121582,0.44078371723492943,3.4998774687449137,-9.153248310859384,4.427907320933216,1
261,10.084413337707518,0.45227558811505636,3.494896618525187,-9.080717735031163,4.409139484074938,1
262,10.01307996114095,0.4642374018828074,3.4918109258015955,-9.010479725952552,4.391872241050208,1
263,9.932071940104167,0.47505199909210205,3.487203439076742,-8.931812487693922,4.3697200264915015,1
264,9.8516445795695,0.48674466609954836,3.4825163523356126,-8.853330678867236,4.348604049895288,1
265,9.76775156656901,0.49989566802978513,3.4775832017262784,-8.771089033769933,4.327454622154586,1
266,9.68732992808024,0.5096736888090769,3.470986890792847,-8.693370758303404,4.304582821043017,1
267,9.613782056172688,0.5192108869552613,3.4671821912129723,-8.622059575484558,4.284212184931543,1
268,9.534298451741536,0.5280080179373423,3.460056002934774,-8.545591106495605,4.26081119911108,1
269,9.460915120442708,0.5358963330586751,3.453040599822998,-8.475084036193328,4.238991669662518,1
270,9.376948356628416,0.5404809951782227,3.4320649464925133,-8.396167295983112,4.209947140628827,1
271,9.306338755289714,0.5406547864278157,3.413201332092285,-8.331262426003589,4.182142395394424,1
272,9.24674752553304,0.5417816201845804,3.39835524559021,-8.276097540277604,4.159576496319331,1
273,9.210296821594238,0.5398392260074616,3.3910611152648924,-8.243396582283859,4.14335693840104,1
274,9.17481606801351,0.5379365126291912,3.386765209833781,-8.211570549139584,4.127557957194783,1
275,9.106535911560059,0.5461959878603618,3.381572341918946,-8.145602385832856,4.108100307636344,1
276,9.042473220825197,0.5560753186543783,3.3771651903788253,-8.082865307374691,4.091800353413645,1
277,8.98026809692383,0.5655594905217489,3.370559676488241,-8.02199040673337,4.0758732247488965,1
278,8.92601858774821,0.5758726874987284,3.366143401463827,-7.968092283021927,4.0638580868775405,1
279,8.867676862080891,0.5860747655232748,3.3621870994567873,-7.9104805602179455,4.0501202287687645,1
280,8.817546335856118,0.5925177256266275,3.3491467634836836,-7.861897395208634,4.036182600844901,1
281,8.76834767659505,0.601730465888977,3.3440033276875814,-7.813072953234099,4.0251573334058115,1
282,8.716719245910642,0.6109091003735861,3.3348921457926433,-7.7620309231036195,4.013138458828879,1
283,8.680705642700195,0.6192335089047751,3.3302351633707685,-7.72566524625552,4.0065193243708626,1
284,8.637732060750324,0.6259469072024029,3.321422894795736,-7.683546716439697,3.9956644679250837,1
285,8.606561279296873,0.6343062043190003,3.3261849562327073,-7.651614059329008,3.9909953272596645,1
286,8.55950558980306,0.6470397631327311,3.32657961845398,-7.603362972224146,3.9840516951409506,1
287,8.513826688130697,0.6589343190193175,3.326665576299032,-7.5567083765527165,3.976882928129263,1
288,8.44773858388265,0.6725510656833648,3.319191614786784,-7.490631325825419,3.96321264356764,1
